simplified,traditional,pinyin_1,pinyin_2,english,hsk_level
星期,星期,xing1qi1,xīngqī,week,1
十,十,shi2,shí,ten,1
猫,貓,mao1,māo,cat,1
电脑,電腦,dian4nao3,diànnǎo,computer,1
热,熱,re4,rè,heat; hot,1
学生,學生,xue2sheng5,xuésheng,student,1
下午,下午,xia4wu3,xiàwǔ,afternoon,1
学习,學習,xue2xi2,xuéxí,learn; to study,1
冷,冷,leng3,lěng,cold,1
不客气,不客氣,bu2 ke4qi5,bú kèqi,you're welcome; don't be polite,1
前面,前面,qian2mian4,qiánmiàn,in front,1
八,八,ba1,bā,eight,1
中国,中國,Zhong1guo2,Zhōngguó,China,1
七,七,qi1,qī,seven,1
菜,菜,cai4,cài,dish (type of food); vegetables,1
桌子,桌子,zhuo1zi5,zhuōzi,table; desk,1
出租车,出租車,chu1zu1che1,chūzūchē,taxi; cab,1
天气,天氣,tian1qi4,tiānqì,weather,1
茶,茶,cha2,chá,tea,1
九,九,jiu3,jiǔ,nine,1
商店,商店,shang1dian4,shāngdiàn,shop; store,1
椅子,椅子,yi3zi5,yǐzi,chair,1
同学,同學,tong2xue2,tóngxué,fellow student; schoolmate,1
一点儿,一點兒,yi4dian3r5,yìdiǎnr,a bit; a few,1
苹果,蘋果,ping2guo3,píngguǒ,apple,1
饭店,飯店,fan4dian4,fàndiàn,restaurant; hotel,1
中午,中午,zhong1wu3,zhōngwǔ,noon; midday,1
上午,上午,shang4wu3,shàngwǔ,late morning (before noon),1
水果,水果,shui3guo3,shuǐguǒ,fruit,1
杯子,杯子,bei1zi5,bēizi,cup; glass,1
下雨,下雨,xia4yu3,xiàyǔ,to rain,1
米饭,米飯,mi3fan4,mǐfàn,(cooked) rice,1
北京,北京,Bei3jing1,Běijīng,Beijing,1
汉语,漢語,Han4yu3,Hànyǔ,Chinese language,1
就,就,jiu4,jiù,then; at once; just; only; with regard to,2
要,要,"yao4, yao1","yào, yāo",to want; to need; will/shall; important | demand; request,2
知道,知道,zhi1dao5,zhīdao,know; be aware of,2
吧,吧,"ba5, ba1","ba, bā","particle indicating polite suggestion; | onomatopoeia | bar (serving drinks, providing internet access, etc.)",2
到,到,dao4,dào,arrive (at a place); until (a time),2
对,對,dui4,duì,correct; a pair; to face; be opposite; to; towards,2
也,也,ye3,yě,also; too,2
还,還,"hai2, huan2","hái, huán",still; yet; in addition; even | repay; to return,2
让,讓,rang4,ràng,ask; let; yield,2
给,給,"gei3, ji3","gěi, jǐ",to give; to grant; (passive particle) | provide,2
过,過,guo4,guò,to pass; to cross; go over; (indicates a past experience),2
得,得,"de2, dei3, de5","dé, děi, de",obtain | must | (complement particle),2
真,真,zhen1,zhēn,real; true; genuine,2
着,著,"zhe5, zhao2, zhuo2","zhe, zháo, zhuó",-ing (indicating action in progress) | to touch; to feel | to wear; apply,2
可以,可以,ke3yi3,kěyǐ,can; may; possible; okay,2
别,別,"bie2, bie4","bié, biè",don't do something; don't | depart; | other; difference; distinguish,2
走,走,zou3,zǒu,to walk; to go; to move (Kangxi radical 156),2
告诉,告訴,gao4su5,gàosu,to tell; inform,2
因为,因為,yin1wei4,yīnwèi,because,2
再,再,zai4,zài,again; once more,2
快,快,kuai4,kuài,fast; quick; swift,2
但是,但是,dan4shi4,dànshì,but; however,2
已经,已經,yi3jing5,yǐjing,already,2
为什么,為什麼,wei4shen2me5,wèishénme,why?; for what reason?,2
觉得,覺得,jue2de5,juéde,feel; think,2
它,它,ta1,tā,it,2
从,從,cong2,cóng,from; obey; observe,2
找,找,zhao3,zhǎo,try to find; look for; seek; to give change,2
最,最,zui4,zuì,the most; -est; (indicator for superlative),2
可能,可能,ke3neng2,kěnéng,possible; maybe,2
次,次,ci4,cì,(mw for number of times of occurrence); nth; order,2
出,出,chu1,chū,go out; occur,2
孩子,孩子,hai2zi5,háizi,child; children; son or daughter,2
所以,所以,suo3yi3,suǒyǐ,so; therefore; as a result,2
两,兩,liang3,liǎng,two; 2; both; (unit of weight equal to 50 grams),2
错,錯,cuo4,cuò,mistake; error; blunder; miss an opportunity,2
等,等,deng3,děng,to wait; rank; equal; etc.,2
题,題,ti2,tí,topic; subject; question on a test or assignment,2
问,問,wen4,wèn,ask; inquire,2
问题,問題,wen4ti2,wèntí,question; problem,2
一起,一起,yi4qi3,yìqǐ,together; in the same place,2
开始,開始,kai1shi3,kāishǐ,begin; to start; beginning,2
时间,時間,shi2jian1,shíjiān,time; period,2
事情,事情,shi4qing5,shìqing,matter; affair; thing; business,2
一下,一下,yi2xia4,yíxià,a little bit/while; one time; once,2
非常,非常,fei1chang2,fēicháng,extremely; extraordinary; very,2
希望,希望,xi1wang4,xīwàng,to hope; wish for; to desire,2
准备,准備,zhun3bei4,zhǔnbèi,prepare; get ready,2
比,比,bi3,bǐ,compare; (indicates comparison) (Kangxi radical 81); to gesticulate as one talks,2
件,件,jian4,jiàn,"(mw for things, clothes, and items)",2
意思,意思,yi4si5,yìsi,meaning; idea; opinion,2
第一,第一,di4yi1,dìyī,first; number 1,2
进,進,jin4,jìn,enter; come in,2
大家,大家,da4jia1,dàjiā,everyone,2
新,新,xin1,xīn,new; Xinjiang autonomous region (abbreviation),2
您,您,nin2,nín,you (polite),2
穿,穿,chuan1,chuān,to wear; put on; penetrate,2
送,送,song4,sòng,deliver; to carry; to give; send,2
玩,玩,wan2,wán,to play; have a good time; visit; enjoy,2
长,長,"chang2, zhang3","cháng, zhǎng",long; length | grow; chief (Kangxi radical 168),2
小时,小時,xiao3shi2,xiǎoshí,hour,2
完,完,wan2,wán,to finish; be over; complete,2
每,每,mei3,měi,each; every,2
公司,公司,gong1si1,gōngsī,company; corporation,2
帮助,幫助,bang1zhu4,bāngzhù,help; assist; aid,2
晚上,晚上,wan3shang5,wǎnshang,evening; night,2
说话,說話,shuo1hua4,shuōhuà,to talk; speak,2
门,門,men2,mén,door; opening; gate (Kangxi radical 169),2
女,女,nv3,nǚ,woman; female (Kangxi radical 38),2
忙,忙,mang2,máng,busy,2
卖,賣,mai4,mài,to sell,2
高,高,gao1,gāo,high; tall (Kangxi radical 189),2
房间,房間,fang2jian1,fángjiān,room,2
路,路,lu4,lù,road; path; journey; route,2
懂,懂,dong3,dǒng,understand; know,2
正在,正在,zheng4zai4,zhèngzài,in the process of (doing something); currently,2
笑,笑,xiao4,xiào,to laugh; to smile,2
远,遠,yuan3,yuǎn,far; distant; remote,2
妻子,妻子,qi1zi5,qīzi,wife,2
丈夫,丈夫,zhang4fu5,zhàngfu,husband; man,2
离,離,li2,lí,leave; depart; go away; apart from,2
往,往,wang3,wǎng,to go (in a direction); towards; in the past,2
男,男,nan2,nán,male,2
眼睛,眼睛,yan3jing5,yǎnjing,eye,2
快乐,快樂,kuai4le4,kuàilè,happy,2
虽然,雖然,sui1ran2,suīrán,although; even though,2
早上,早上,zao3shang5,zǎoshang,(early) morning,2
药,藥,yao4,yào,medicine; drug; cure; chemical,2
身体,身體,shen1ti3,shēntǐ,health; (human) body,2
黑,黑,hei1,hēi,black; dark (Kangxi radical 203); Heilongjiang province (abbreviation),2
咖啡,咖啡,ka1fei1,kāfēi,coffee,2
日,日,ri4,rì,sun; day; date; time (Kangxi radical 72),2
休息,休息,xiu1xi5,xiūxi,to rest; take a break,2
外,外,wai4,wài,outer; outside; in addition; foreign,2
生日,生日,sheng1ri4,shēngrì,birthday,2
哥哥,哥哥,ge1ge5,gēge,older brother,2
票,票,piao4,piào,ticket; bank note; a vote,2
手机,手機,shou3ji1,shǒujī,mobile (cell) phone,2
洗,洗,xi3,xǐ,to wash; bathe,2
跳舞,跳舞,tiao4 wu3,tiào wǔ,to dance,2
弟弟,弟弟,di4di5,dìdi,younger brother,2
妹妹,妹妹,mei4mei5,mèimei,younger sister,2
红,紅,hong2,hóng,red; symbol of success; bonus; popular,2
慢,慢,man4,màn,slow,2
近,近,jin4,jìn,near; close (to),2
白,白,"bai2, bo2","bái, bó",white; snowy; pure; bright; empty (Kangxi radical 106),2
姐姐,姐姐,jie3jie5,jiějie,older sister,2
介绍,介紹,jie4shao4,jièshào,to introduce; recommend; introduction,2
鱼,魚,yu2,yú,fish (Kangxi radical 195),2
累,累,"lei4, lei3, lei2","lèi, lěi, léi",tired | accumulate; implicate | rope; bind together,2
课,課,ke4,kè,class; subject; lesson; course,2
上班,上班,shang4 ban1,shàng bān,go to work; be on duty,2
旁边,旁邊,pang2bian1,pángbiān,"side, beside",2
运动,運動,yun4dong4,yùndòng,(physical) exercise; movement; sports; campaign,2
去年,去年,qu4nian2,qùnián,last year,2
报纸,報紙,bao4zhi3,bàozhǐ,newspaper,2
颜色,顏色,yan2se4,yánsè,color,2
机场,機場,ji1chang3,jīchǎng,airport; airfield,2
唱歌,唱歌,chang4ge1,chànggē,sing (a song),2
千,千,qian1,qiān,one thousand,2
好吃,好吃,hao3chi1,hǎochī,tasty,2
考试,考試,kao3shi4,kǎoshì,test; exam; to give or take a test,2
左边,左邊,zuo3bian5,zuǒbian,the left side; the left,2
姓,姓,xing4,xìng,surname; family name,2
百,百,bai3,bǎi,hundred,2
雪,雪,xue3,xuě,snow,2
贵,貴,gui4,guì,expensive; noble; honorable; Guizhou province (abbreviation),2
生病,生病,sheng1 bing4,shēng bìng,get sick; fall ill,2
游泳,游泳,you2yong3,yóuyǒng,to swim,2
牛奶,牛奶,niu2nai3,niúnǎi,cow's milk,2
右边,右邊,you4bian5,yòubian,the right (as opposed to left) side,2
便宜,便宜,pian2yi5,piányi,cheap,2
公共汽车,公共汽車,gong1gong4 qi4che1,gōnggòng qìchē,(public) bus,2
起床,起床,qi3 chuang2,qǐ chuáng,get out of bed,2
打篮球,打籃球,da3 lan2qiu2,dǎ lánqiú,play basketball,2
鸡蛋,雞蛋,ji1dan4,jīdàn,(chicken) egg,2
踢足球,踢足球,ti1zu2qiu2,tīzúqiú,to play football/soccer,2
零,零,ling2,líng,zero; remnant,2
手表,手表,shou3biao3,shǒubiǎo,wristwatch,2
旅游,旅游,lv3you2,lǚyóu,trip; journey; tour,2
服务员,服務員,fu2wu4yuan2,fúwùyuán,waiter/waitress; server; attendant,2
宾馆,賓館,bin1guan3,bīnguǎn,guesthouse; hotel,2
教室,教室,jiao4shi4,jiàoshì,classroom,2
跑步,跑步,pao3 bu4,pǎo bù,to run; to jog,2
阴,陰,yin1,yīn,cloudy (weather); yin (the negative principle of Yin and Yang); secret; the moon; negative; shade,2
面条,面條,mian4tiao2,miàntiáo,noodles,2
铅笔,鉛筆,qian1bi3,qiānbǐ,pencil,2
火车站,火車站,huo3che1zhan4,huǒchēzhàn,train station,2
西瓜,西瓜,xi1gua1,xīguā,watermelon,2
羊肉,羊肉,yang2rou4,yángròu,mutton; lamb,2
晴,晴,qing2,qíng,clear; fine (as of weather),2
啊,啊,"a1, a2, a3, a4, a5","ā, á, ǎ, à, a","ah; (particle showing elation, doubt, puzzled surprise, or approval)",3
还,還,"hai2, huan2","hái, huán",still; yet; in addition; even | repay; to return,3
把,把,"ba3, ba4","bǎ, bà",(mw for things with handles); (pretransitive particle); to hold | a grip; a handle; stem (of plants),3
过,過,guo4,guò,to pass; to cross; go over; (indicates a past experience),3
如果,如果,ru2guo3,rúguǒ,if; in the event that,3
只,隻,"zhi3, zhi1","zhǐ, zhī",only; merely; just; but | (mw for birds and certain animals),3
被,被,bei4,bèi,by (indicates passive voice sentences); a quilt/blanket,3
跟,跟,gen1,gēn,to follow; go with; heel,3
自己,自己,zi4ji3,zìjǐ,oneself; self,3
用,用,yong4,yòng,to use (Kangxi radical 101),3
像,像,xiang4,xiàng,be like; resemble; appearance; appear,3
为,為,"wei2, wei4","wéi, wèi",to act (as); become; to mean | for; because of; to; for the sake of,3
需要,需要,xu1yao4,xūyào,to need; to want; to demand,3
应该,應該,ying1gai1,yīnggāi,should; ought to; must,3
起来,起來,qi3 lai5,qǐ lai,(beginning or continuing an action); to rise; get up (from bed),3
才,才,cai2,cái,ability; talent; just now; not until,3
又,又,you4,yòu,(once) again; also; both (Kangxi radical 29),3
拿,拿,na2,ná,carry in your hand; seize; to catch,3
更,更,"geng4, geng1","gèng, gēng",more; even more | change; watch (e.g. of a sentry or guard),3
带,帶,dai4,dài,band; belt; ribbon; carry; bring; take along; bring up (kids),3
然后,然后,ran2hou4,ránhòu,then; afterwards,3
一样,一樣,yi2yang4,yíyàng,the same; alike; equal to,3
当然,當然,dang1ran2,dāngrán,of course; naturally,3
相信,相信,xiang1xin4,xiāngxìn,believe (sb.); be convinced of,3
认为,認為,ren4wei2,rènwéi,believe; think that,3
明白,明白,ming2bai5,míngbai,clear; obvious; understand; explicit,3
一直,一直,yi4zhi2,yìzhí,always; all along; straight (in a straight line),3
地,地,"di4, de5","dì, de",earth; ground | (adverbial particle),3
地方,地方,di4fang5,dìfang,"place; space; room; part, (fāng: local; regional)",3
离开,離開,li2kai1,líkāi,leave; depart,3
一定,一定,yi2ding4,yídìng,surely; certainly; necessarily; definite,3
还是,還是,hai2shi5,háishi,or; still; nevertheless; had better,3
发,發,"fa1, fa4","fā, fà",send out; to issue; to show (one's feelings) | hair,3
发现,發現,fa1xian4,fāxiàn,discover; to find,3
而且,而且,er2qie3,érqiě,moreover; in addition; as well as,3
必须,必須,bi4xu1,bìxū,must; have to,3
放,放,fang4,fàng,put; to place; to release; to free,3
为了,為了,wei4le5,wèile,in order to; for the sake of; for the purpose of,3
向,向,xiang4,xiàng,direction; towards; to turn; to face,3
老,老,lao3,lǎo,old; aged; tough; often (Kangxi radical 125),3
位,位,wei4,wèi,position; location; (polite mw for people),3
先,先,xian1,xiān,first; early; before,3
种,種,"zhong3, zhong4","zhǒng, zhòng",type; breed; race; seed | to plant,3
最后,最后,zui4hou4,zuìhòu,last; final; ultimately,3
其他,其他,qi2ta1,qítā,other; else,3
记得,記得,ji4de5,jìde,remember,3
或者,或者,huo4zhe3,huòzhě,or; possible; maybe; perhaps,3
过去,過去,guo4qu4,guòqù,in the past; formerly,3
担心,擔心,dan1xin1,dānxīn,to worry; feel anxious,3
条,條,tiao2,tiáo,strip; (mw for long thin objects); item,3
以前,以前,yi3qian2,yǐqián,before; formerly; previous,3
长,長,"chang2, zhang3","cháng, zhǎng",long; length | grow; chief (Kangxi radical 168),3
世界,世界,shi4jie4,shìjiè,world,3
重要,重要,zhong4yao4,zhòngyào,important; significant; major,3
别人,別人,bie2ren5,biéren,other people; others,3
机会,機會,ji1hui4,jīhuì,opportunity; chance; occasion,3
张,張,zhang1,zhāng,(mw for flat objects); to spread out; (common surname),3
接,接,jie1,jiē,connect; to meet; to pick up (somebody); to receive,3
比赛,比賽,bi3sai4,bǐsài,(sports) match; competition,3
关,關,guan1,guān,to close; shut; concern; relationship; turn off; mountain pass,3
关系,關系,guan1xi5,guānxi,relation; to concern,3
马,馬,ma3,mǎ,horse (Kangxi radical 187),3
马上,馬上,ma3shang4,mǎshàng,at once; immediately; right away,3
决定,決定,jue2ding4,juédìng,decide; resolve,3
关于,關於,guan1yu2,guānyú,about; regarding; concerning,3
难,難,"nan2, nan4","nán, nàn",difficult | trouble; to blame,3
了解,了解,liao3jie3,liǎojiě,comprehend; understand; know; find out,3
站,站,zhan4,zhàn,stand; a station; be on one's feet; service center,3
结束,結束,jie2shu4,jiéshù,to end; to finish; conclude,3
清楚,清楚,qing1chu5,qīngchu,clear; distinct; be clear about,3
愿意,願意,yuan4yi4,yuànyì,be willing; want to; be ready,3
花,花,hua1,huā,flower; blossom; spend money; cost,3
照片,照片,zhao4pian4,zhàopiàn,picture; photograph,3
欢迎,歡迎,huan1ying2,huānyíng,to welcome; greet,3
总是,總是,zong3shi4,zǒngshì,always; eventually,3
嘴,嘴,zui3,zuǐ,mouth,3
参加,參加,can1jia1,cānjiā,participate; join; take part in,3
办法,辦法,ban4fa3,bànfǎ,method; way (of doing something),3
选择,選擇,xuan3ze2,xuǎnzé,select; to pick; choose,3
坏,壞,huai4,huài,bad; broken,3
打算,打算,da3suan4,dǎsuàn,to plan; intend,3
试,試,shi4,shì,to try; to test; examination,3
特别,特別,te4bie2,tèbié,special; especially; particular,3
注意,注意,zhu4yi4,zhùyì,pay attention to; take notice of; be careful,3
其实,其實,qi2shi2,qíshí,actually; in fact,3
小心,小心,xiao3xin1,xiǎoxīn,be careful,3
久,久,jiu3,jiǔ,long (time),3
只有,隻有,zhi3you3,zhǐyǒu,only,3
讲,講,jiang3,jiǎng,to talk; to lecture; to explain; a speech,3
故事,故事,gu4shi5,gùshi,story; tale,3
换,換,huan4,huàn,change; to exchange; to barter; to trade,3
结婚,結婚,jie2hun1,jiéhūn,get married,3
段,段,duan4,duàn,paragraph; segment; section,3
努力,努力,nu3li4,nǔlì,to work hard; to strive,3
害怕,害怕,hai4pa4,hàipà,afraid of; to fear,3
刚才,剛才,gang1cai2,gāngcái,just now; a moment ago,3
节目,節目,jie2mu4,jiémù,program; item (on a program),3
辆,輛,liang4,liàng,(mw for vehicles),3
万,萬,wan4,wàn,ten thousand,3
解决,解決,jie3jue2,jiějué,settle (a dispute); resolve; solve,3
办公室,辦公室,ban4gong1shi4,bàngōngshì,office,3
奇怪,奇怪,qi2guai4,qíguài,strange; odd,3
同意,同意,tong2yi4,tóngyì,agree; to consent; approve,3
游戏,游戲,you2xi4,yóuxì,game; play; recreation,3
帮忙,幫忙,bang1mang2,bāngmáng,to help,3
国家,國家,guo2jia1,guójiā,country; state; nation,3
最近,最近,zui4jin4,zuìjìn,recently; lately; these days,3
声音,聲音,sheng1yin1,shēngyīn,sound; voice,3
可爱,可愛,ke3'ai4,kě'ài,cute; lovely,3
分,分,"fen1, fen4","fēn, fèn",divide; part; minute; cent | component; share; ingredient,3
完成,完成,wan2cheng2,wánchéng,to complete; accomplish; to fulfill,3
半,半,ban4,bàn,half; semi-; incomplete,3
要求,要求,yao1qiu2,yāoqiú,to request; to demand; requirement,3
除了,除了,chu2le5,chúle,besides; except for; aside from; in addition to,3
容易,容易,rong2yi4,róngyì,easy; likely; liable (to),3
教,教,"jiao1, jiao4","jiāo, jiào",teach; instruct | religion; teaching,3
脸,臉,lian3,liǎn,face,3
简单,簡單,jian3dan1,jiǎndān,simple; not complicated,3
检查,檢查,jian3cha2,jiǎnchá,to check; examine; inspect,3
音乐,音樂,yin1yue4,yīnyuè,music,3
越,越,yue4,yuè,even more; the more; exceed,3
照顾,照顧,zhao4gu5,zhàogu,take care of; look after; give consideration,3
聪明,聰明,cong1ming5,cōngming,intelligent; clever; bright; smart,3
甜,甜,tian2,tián,sweet,3
突然,突然,tu1ran2,tūrán,sudden; abrupt,3
终于,終於,zhong1yu2,zhōngyú,at last; in the end; finally,3
船,船,chuan2,chuán,a boat; vessel; ship,3
口,口,kou3,kǒu,mouth (Kangxi radical 30),3
回答,回答,hui2da2,huídá,to reply; to answer,3
礼物,禮物,li3wu4,lǐwù,gift; present,3
头发,頭發,tou2fa5,tóufa,hair (on the head),3
关心,關心,guan1xin1,guānxīn,concerned about/with,3
脚,腳,jiao3,jiǎo,foot (body part),3
生气,生氣,sheng1qi4,shēngqì,angry; mad,3
哭,哭,ku1,kū,cry; weep,3
画,畫,hua4,huà,draw; picture; painting,3
年轻,年輕,nian2qing1,niánqīng,young,3
包,包,bao1,bāo,"to cover; to wrap; to hold; include; (mw for containers, packages, etc.)",3
腿,腿,tui3,tuǐ,leg,3
忘记,忘記,wang4ji4,wàngjì,forget,3
搬,搬,ban1,bān,to move; to transport,3
楼,樓,lou2,lóu,story; floor; (multi-story) building,3
遇到,遇到,yu4dao4,yùdào,to meet; run into; come across,3
新闻,新聞,xin1wen2,xīnwén,news,3
比较,比較,bi3jiao4,bǐjiào,compare; contrast; relatively,3
双,雙,shuang1,shuāng,two; double; (mw for pairs),3
见面,見面,jian4mian4,jiànmiàn,meet/see somebody (face to face); meeting,3
经常,經常,jing1chang2,jīngcháng,often; frequently; daily,3
城市,城市,cheng2shi4,chéngshì,city or town,3
一会儿,一會兒,yi2hui4r5,yíhuìr,a while; a moment,3
附近,附近,fu4jin4,fùjìn,(in the) vicinity; nearby; neighboring,3
借,借,jie4,jiè,lend; borrow; excuse,3
影响,影響,ying3xiang3,yǐngxiǎng,influence; affect; effect,3
认真,認真,ren4zhen1,rènzhēn,serious; earnest; take seriously,3
米,米,mi3,mǐ,rice; meter (Kangxi radical 119),3
差,差,"cha4, cha1, chai1, ci1","chà, chā, chāi, cī",differ from; fall short of; poor; inferior | difference | to dispatch,3
银行,銀行,yin2hang2,yínháng,bank,3
安静,安靜,an1jing4,ānjìng,quiet; peaceful; calm,3
多么,多麼,duo1me5,duōme,"how (wonderful, etc.); what (a great idea)",3
饿,餓,e4,è,hungry,3
根据,根據,gen1ju4,gēnjù,according to; based on; basis,3
几乎,幾乎,ji1hu1,jīhū,almost,3
后来,后來,hou4lai2,hòulái,afterwards; after; later,3
动物,動物,dong4wu4,dòngwù,animal,3
西,西,xi1,xī,West (Kangxi radical 146),3
一边,一邊,yi4bian1,yìbiān,one side; on the one hand; at the same time,3
舒服,舒服,shu1fu5,shūfu,comfortable; feeling well,3
一般,一般,yi4ban1,yìbān,general; ordinary; common; same,3
叔叔,叔叔,shu1shu5,shūshu,(informal) father's younger brother; uncle,3
疼,疼,teng2,téng,ache; sore; (it) hurts; love fondly,3
迟到,遲到,chi2dao4,chídào,arrive late,3
历史,歷史,li4shi3,lìshǐ,history,3
啤酒,啤酒,pi2jiu3,píjiǔ,beer,3
短,短,duan3,duǎn,"short (in length, duration, or height); lack",3
经过,經過,jing1guo4,jīngguò,to pass; go through; as a result of,3
周末,周末,zhou1mo4,zhōumò,weekend,3
班,班,ban1,bān,team; class; squad,3
习惯,習慣,xi2guan4,xíguàn,habit; be accustomed to; usual practice,3
公园,公園,gong1yuan2,gōngyuán,public park,3
干净,干淨,gan1jing4,gānjìng,clean; neat and tidy,3
鸟,鳥,niao3,niǎo,bird (Kangxi radical 196),3
健康,健康,jian4kang1,jiànkāng,health; healthy,3
树,樹,shu4,shù,tree,3
蛋糕,蛋糕,dan4gao1,dàngāo,cake,3
元,元,yuan2,yuán,Chinese monetary unit; dollar; first; principal,3
客人,客人,ke4ren2,kèrén,guest; customer,3
会议,會議,hui4yi4,huìyì,meeting; conference,3
奶奶,奶奶,nai3nai5,nǎinai,grandma; (informal) paternal grandmother,3
